진료년도,표시과목,주상병코드,환자수,명세서 청구건수,입내원일수,요양급여비용총액,보험자부담금
2019,산부인과,D03,3,4,4,332130,235930
2019,산부인과,D04,2,5,5,73200,69800
2019,산부인과,D05,139,237,238,21186490,19430840
2019,산부인과,D06,1957,4856,4951,447533040,404202910
2019,산부인과,D07,92,150,150,17997130,14421630
2019,산부인과,D09,6,7,7,383780,344280
2019,산부인과,D10,3,3,3,177230,124230
2019,산부인과,D11,1,1,1,15690,10990
2019,산부인과,D12,193,212,212,22587370,15875290
2019,산부인과,D13,34,38,38,2626120,1818240
2019,산부인과,D14,1,2,2,30170,25470
2019,산부인과,D16,1,1,1,17890,17090
2019,산부인과,D17,549,848,853,80786100,57192960
2019,산부인과,D18,216,254,258,15617260,11130820
2019,산부인과,D20,2,2,3,701460,467050
2019,산부인과,D21,96,114,118,9261340,6636580
2019,산부인과,D22,46,63,63,1491230,1189030
2019,산부인과,D23,2314,3453,3464,276890220,195850280
2019,산부인과,D24,9146,12731,13006,782751850,559030830
2019,산부인과,D25,127739,198557,212595,18538117260,14123416130
2019,산부인과,D26,901,1351,1785,315970170,237879740
2019,산부인과,D27,29486,42507,47238,5471936590,4101431090
2019,산부인과,D28,6793,12439,12618,1676428470,1189056880
2019,산부인과,D29,12,17,17,1605000,1138600
2019,산부인과,D30,84,95,98,5507730,3985050
2019,산부인과,D32,6,14,14,1040320,881680
2019,산부인과,D33,10,30,30,3493470,3070870
2019,산부인과,D34,3542,4458,4455,221642460,156634240
2019,산부인과,D35,31,63,63,2209040,1772540
2019,산부인과,D36,49,70,70,5188580,3659680
2019,산부인과,D37,24,29,36,3297760,2559470
2019,산부인과,D38,2,3,3,160350,131950
2019,산부인과,D39,4527,6011,6019,600676780,403591280
2019,산부인과,D41,23,38,38,1767970,1237000
2019,산부인과,D43,3,3,3,659470,627870
2019,산부인과,D44,326,379,379,32631950,23151790
2019,산부인과,D45,1,1,1,27200,25900
2019,산부인과,D46,2,5,5,102170,97370
2019,산부인과,D47,6,11,11,495890,457390
2019,산부인과,D48,854,1102,1115,118507600,84539490
