진료년도,표시과목,주상병코드,환자수,명세서 청구건수,요양급여비용총액,보험자부담금
2018,일반의,B83,288,329,5774950,4237850
2018,일반의,B85,3806,4508,76598270,55878570
2018,일반의,B86,8978,13927,215311350,162919850
2018,일반의,B87,6,11,162210,140010
2018,일반의,B88,3388,4988,124676320,91012320
2018,일반의,B89,118,129,2701360,1969560
2018,일반의,B90,474,714,40762810,29445910
2018,일반의,B91,19,132,4440620,3114920
2018,일반의,B92,1,1,15310,13810
2018,일반의,B94,35,50,3305010,2347810
2018,일반의,B96,28,55,1777540,1339750
2018,일반의,B97,1159,2001,106455270,75101450
2018,일반의,B98,2638,3318,68244650,48637550
2018,일반의,B99,330,436,8097100,6266710
2018,일반의,C00,9,12,1163500,1047830
2018,일반의,C01,17,145,9051860,8305940
2018,일반의,C02,80,396,51359330,45938690
2018,일반의,C03,15,155,50414490,47273760
2018,일반의,C04,6,10,4254520,3959630
2018,일반의,C05,15,122,34997830,32785880
2018,일반의,C06,47,309,62474390,58068610
2018,일반의,C07,18,42,13090240,12052240
2018,일반의,C08,45,321,67796150,62979520
2018,일반의,C09,69,278,38356720,35542660
2018,일반의,C10,33,195,46461580,43490870
2018,일반의,C11,76,363,39098380,35877290
2018,일반의,C12,3,14,488120,436150
2018,일반의,C13,41,297,80741000,75768740
2018,일반의,C14,10,32,2511820,2293610
2018,일반의,C15,445,2449,339966920,315075990
2018,일반의,C16,4417,24635,1911183760,1777221160
2018,일반의,C17,75,458,52460230,49447840
2018,일반의,C18,2442,14802,1537075600,1432201290
2018,일반의,C19,268,1823,170835180,158319350
2018,일반의,C20,1139,6439,890278450,820284750
2018,일반의,C21,73,398,16902090,15205920
2018,일반의,C22,2054,9877,1595222490,1482954570
2018,일반의,C23,266,1312,354363410,330753550
2018,일반의,C24,479,2715,623533000,582367230
2018,일반의,C25,1047,6720,1544016700,1445042200
2018,일반의,C26,64,421,9172640,8271150
2018,일반의,C30,22,95,3090140,2758440
2018,일반의,C31,33,532,40754940,38000470
2018,일반의,C32,144,846,65357430,60359040
2018,일반의,C33,10,53,2462370,2157970
2018,일반의,C34,3211,19354,2879844940,2672404450
2018,일반의,C37,74,410,222063750,208336840
2018,일반의,C38,25,180,10917870,9949280
2018,일반의,C39,27,137,2550690,2376190
2018,일반의,C40,29,85,64008800,59400520
2018,일반의,C41,71,582,101671510,94521490
2018,일반의,C43,250,900,64857330,59452590
2018,일반의,C44,677,3557,166233450,148122710
2018,일반의,C45,11,60,22664270,21137760
2018,일반의,C46,24,264,6392860,5863340
2018,일반의,C47,10,40,3335490,2991150
2018,일반의,C48,61,406,47404560,44245610
2018,일반의,C49,148,1198,114749130,106402900
2018,일반의,C50,5256,30552,2157824270,1950673100
2018,일반의,C51,10,139,3721930,3401560
2018,일반의,C52,14,27,1050470,928580
2018,일반의,C53,606,3835,352176380,321286880
2018,일반의,C54,481,2512,260961820,231993760
2018,일반의,C55,85,721,29890960,27782900
2018,일반의,C56,978,5332,571305160,510735710
2018,일반의,C57,92,745,48123030,44262830
2018,일반의,C58,4,16,508690,457190
2018,일반의,C60,4,5,9701000,9149550
2018,일반의,C61,1920,11885,848515110,788599400
2018,일반의,C62,31,120,3721940,3169640
2018,일반의,C63,16,41,2386530,1959500
2018,일반의,C64,470,2942,470805500,439685910
2018,일반의,C65,77,351,61222470,56625630
2018,일반의,C66,63,396,92821820,86265890
2018,일반의,C67,658,3789,348281410,319404620
2018,일반의,C68,37,187,15501170,14657270
2018,일반의,C69,10,198,14882760,13826220
2018,일반의,C70,25,196,11082450,10412110
2018,일반의,C71,332,2236,381964050,355460090
2018,일반의,C72,46,203,9669950,8618460
2018,일반의,C73,7896,23123,1746647650,1533688880
2018,일반의,C74,23,210,37119720,34729620
2018,일반의,C75,37,298,9559730,8663200
2018,일반의,C76,73,268,12072190,10940660
2018,일반의,C77,148,398,44805660,39281650
2018,일반의,C78,263,1536,118719040,109089480
2018,일반의,C79,139,1277,84366410,78147470
2018,일반의,C80,162,702,158641050,147682970
2018,일반의,C81,42,188,9122070,8045460
2018,일반의,C82,49,334,9121930,8530640
2018,일반의,C83,155,834,162800800,151328680
2018,일반의,C84,29,180,27345740,25747480
2018,일반의,C85,201,1149,83987750,78442660
2018,일반의,C86,22,100,16582690,15317830
2018,일반의,C88,69,393,8002830,7440030
2018,일반의,C90,172,1028,136786420,127768210
2018,일반의,C91,76,457,54605960,50806380
2018,일반의,C92,181,915,35959790,33351050
2018,일반의,C93,16,31,928190,869490
2018,일반의,C94,23,92,2299460,2134660
2018,일반의,C95,47,196,5107530,4642790
2018,일반의,C96,39,221,4008660,3744260
2018,일반의,C97,2,28,309270,264170
2018,일반의,D00,68,255,11057840,10263840
2018,일반의,D01,422,1693,98008940,90182010
2018,일반의,D02,68,506,11569390,10790760
2018,일반의,D03,86,209,4363190,3526490
2018,일반의,D04,131,666,21719510,19892070
2018,일반의,D05,525,1716,91635740,82064350
2018,일반의,D06,436,1668,94086270,84455580
2018,일반의,D07,323,592,26452290,20849510
2018,일반의,D09,136,833,22736400,21371580
2018,일반의,D10,518,733,29587240,21301660
2018,일반의,D11,206,303,12729400,9273020
2018,일반의,D12,18463,21615,5817740170,4125996460
2018,일반의,D13,8657,9783,1232118800,869681890
2018,일반의,D14,2068,2349,273742580,193459410
2018,일반의,D15,133,163,14614000,10670380
2018,일반의,D16,265,396,26338870,18953070
2018,일반의,D17,28575,71622,3673893650,2642471640
2018,일반의,D18,5900,7597,847185540,596434350
2018,일반의,D19,25,50,2459570,1729770
2018,일반의,D20,20,39,3062910,2233160
2018,일반의,D21,12278,34689,1721455450,1243412740
2018,일반의,D22,2059,2481,52001310,37870510
2018,일반의,D23,55908,112280,5581453180,3989929660
2018,일반의,D24,21119,31547,1828385680,1307788180
2018,일반의,D25,25689,34645,3239608250,2503686950
2018,일반의,D26,744,817,28611870,20512190
2018,일반의,D27,5770,7432,676697520,515259500
2018,일반의,D28,1917,3463,497618220,349500270
2018,일반의,D29,1206,2029,193473090,136607940
2018,일반의,D30,1631,1923,247020940,175611900
2018,일반의,D31,112,158,11189180,8095180
2018,일반의,D32,335,1831,95870510,85339800
2018,일반의,D33,389,1410,154169270,133380120
2018,일반의,D34,15725,19929,1196477300,847389740
2018,일반의,D35,603,1393,83482850,61993630
2018,일반의,D36,3014,5924,314493060,224891300
2018,일반의,D37,2166,3126,326360460,240727360
2018,일반의,D38,1711,2100,204033130,145317640
2018,일반의,D39,1298,1824,171601750,122019520
2018,일반의,D40,178,584,14197560,12000600
2018,일반의,D41,354,488,51654560,37208020
2018,일반의,D42,31,137,7153840,6354910
2018,일반의,D43,142,344,38063870,32292950
2018,일반의,D44,2713,3626,306580140,220069880
2018,일반의,D45,49,296,7660520,7047020
2018,일반의,D46,77,633,14668730,13578150
2018,일반의,D47,174,615,21027380,18789640
2018,일반의,D48,1999,2977,263245870,189078240
2018,일반의,D50,51310,93774,2611866110,1901232420
2018,일반의,D51,566,1751,29067360,23150660
2018,일반의,D52,414,746,11324460,8661140
2018,일반의,D53,668,1325,29783190,22251260
2018,일반의,D55,12,32,572350,426250
2018,일반의,D56,5,9,236930,204130
2018,일반의,D58,14,44,766980,579580
2018,일반의,D59,88,167,2475360,1889660
2018,일반의,D60,7,14,213620,163820
2018,일반의,D61,50,159,4333650,3601500
2018,일반의,D62,78,122,4270490,3062500
2018,일반의,D63,146,380,12905530,10880230
2018,일반의,D64,22099,31255,1191387000,861913470
2018,일반의,D65,4,6,163930,123030
2018,일반의,D66,1049,19856,74766800160,67714393460
2018,일반의,D67,253,4247,28331264270,25614855970
2018,일반의,D68,407,975,788609920,706826920
2018,일반의,D69,4336,6481,133112410,100109760
2018,일반의,D70,38,70,1843740,1525130
2018,일반의,D71,1,1,15310,10810
