진료년도,표시과목,주상병코드,환자수,명세서 청구건수,입내원일수,요양급여비용총액,보험자부담금
2020,일반의,A00,7,10,10,236870,171270
2020,일반의,A01,5,8,8,205210,144110
2020,일반의,A02,83,156,368,35559020,30019610
2020,일반의,A03,6,6,20,2037550,1569440
2020,일반의,A04,90784,127859,131833,3037321960,2280580430
2020,일반의,A05,5364,8202,8996,235176050,184100170
2020,일반의,A06,497,675,674,12599370,9395570
2020,일반의,A07,642,873,873,13090670,9917170
2020,일반의,A08,45246,61832,62968,1293329650,978223050
2020,일반의,A09,600463,845360,858915,17765195470,13230695240
2020,일반의,A15,278,2092,2100,112496590,109583850
2020,일반의,A16,393,1292,1314,73027830,65551190
2020,일반의,A17,2,2,2,51040,35840
2020,일반의,A18,136,422,422,14606660,11970400
2020,일반의,A19,4,5,15,2854680,2693490
2020,일반의,A20,1,1,1,20140,14140
2020,일반의,A22,3,5,5,69860,49060
2020,일반의,A24,2,2,2,32280,25880
2020,일반의,A25,6,7,7,145040,104340
2020,일반의,A26,64,99,105,2216930,1665530
2020,일반의,A27,2,4,4,199340,143540
2020,일반의,A28,45,57,57,1619780,1147980
2020,일반의,A30,78,111,156,5067010,3917050
2020,일반의,A31,468,1690,1688,47177210,34800640
2020,일반의,A35,44,52,52,1791660,1280160
2020,일반의,A37,1,1,1,16140,11340
2020,일반의,A38,79,127,133,3511460,2833600
2020,일반의,A39,1,2,2,70080,70080
2020,일반의,A40,23,30,30,612280,451080
2020,일반의,A41,78,130,176,8317650,6432860
2020,일반의,A42,35,52,52,1311210,906270
2020,일반의,A43,1,1,1,73280,51380
2020,일반의,A44,1,1,1,12130,9630
2020,일반의,A46,262,566,577,12097730,9141870
2020,일반의,A48,714,1129,1129,31339180,22179630
2020,일반의,A49,11404,20634,20809,705566330,502220820
2020,일반의,A50,8,12,12,244730,188530
2020,일반의,A51,842,1542,1540,143920200,101066670
2020,일반의,A52,17,63,63,1434440,1023440
2020,일반의,A53,513,809,808,36006310,26539990
2020,일반의,A54,1357,2395,2395,99396190,69681360
2020,일반의,A55,242,270,270,4785650,3369950
2020,일반의,A56,4878,9218,9218,346246890,242874850
2020,일반의,A57,27,43,43,1815470,1279370
2020,일반의,A58,16,19,19,1309720,1064770
2020,일반의,A59,8389,14833,14833,572779170,403319830
2020,일반의,A60,19587,35234,35262,968848840,693893690
2020,일반의,A63,34397,57573,57580,4873273370,3417112820
2020,일반의,A64,5706,9770,9769,760198080,534362380
2020,일반의,A65,8,12,12,427200,301600
2020,일반의,A66,46,92,92,3413740,2464040
2020,일반의,A67,12,13,13,215300,160900
2020,일반의,A69,2777,4310,4323,78673310,59703110
2020,일반의,A71,20,33,33,735550,519250
2020,일반의,A74,367,483,483,13397910,9442810
2020,일반의,A75,590,1164,1666,99434450,76130260
2020,일반의,A77,60,139,139,3402380,2451780
2020,일반의,A79,65,114,114,2149150,1634250
2020,일반의,A80,2,3,3,43840,35940
2020,일반의,A81,7,128,128,3317220,2579120
2020,일반의,A82,2,2,2,40830,28630
2020,일반의,A86,6,6,10,1279790,1089730
2020,일반의,A87,419,583,612,16219770,12131790
2020,일반의,A88,459,817,817,14888930,11449010
2020,일반의,A92,1,1,1,18050,12650
2020,일반의,A93,2,3,3,47550,40150
2020,일반의,A98,6,9,23,1651860,1276990
2020,일반의,A99,13,14,14,239530,179530
2020,일반의,B00,196033,282001,282245,4775322280,3527804140
2020,일반의,B01,4238,7156,7413,168649600,131486160
2020,일반의,B02,201583,473775,484368,10694459760,7982476330
2020,일반의,B05,15,20,20,457320,339320
2020,일반의,B06,10,12,12,282220,205920
2020,일반의,B07,119558,277445,277431,15016263820,10600181230
2020,일반의,B08,25250,35592,35746,1184751790,879501460
2020,일반의,B09,944,1191,1191,19490720,14999420
2020,일반의,B15,335,536,712,46796580,36212470
2020,일반의,B16,264,391,391,16364410,11689010
2020,일반의,B17,3073,4684,4805,270510500,191827950
2020,일반의,B18,21352,58969,59209,3911297120,2756230020
2020,일반의,B19,610,989,1000,38484930,27344570
2020,일반의,B20,4,4,4,61920,45420
2020,일반의,B24,19,41,41,615410,496810
2020,일반의,B25,14,155,155,6802810,6084910
2020,일반의,B26,918,1370,1396,32654620,24322870
2020,일반의,B27,46,78,127,7860450,6581340
2020,일반의,B30,2970,4617,4617,80757570,61069420
2020,일반의,B33,1717,2623,2623,47056110,34913910
2020,일반의,B34,957,1320,1402,34526430,27323240
2020,일반의,B35,754265,1722923,1722986,27136775500,20226056640
2020,일반의,B36,20898,31082,31081,518133230,378332260
2020,일반의,B37,92026,167103,167120,6718414400,4747275460
2020,일반의,B38,6,9,9,147670,114370
2020,일반의,B39,1,2,2,41340,29040
2020,일반의,B40,87,252,252,12072350,8539150
2020,일반의,B41,1,1,1,17070,13570
2020,일반의,B42,1,1,1,16140,11340
2020,일반의,B43,1035,1394,1394,39792620,28600660
2020,일반의,B44,14,45,45,643820,482820
2020,일반의,B45,1,1,1,16140,14540
2020,일반의,B46,18,20,20,557840,469240
2020,일반의,B47,123,227,227,3394240,2624640
2020,일반의,B48,390,890,890,15288070,11482870
2020,일반의,B49,1763,3567,3567,59970470,44402170
2020,일반의,B50,39,50,50,691520,523920
2020,일반의,B51,8,8,8,96240,70840
2020,일반의,B52,5,5,5,80700,56700
2020,일반의,B53,10,11,11,158540,117940
2020,일반의,B54,157,167,167,2859640,2061240
2020,일반의,B56,8,9,9,223540,177640
2020,일반의,B58,70,209,209,4157490,2956590
2020,일반의,B60,18,22,22,276880,215880
2020,일반의,B64,23,34,34,571380,433880
2020,일반의,B65,35,38,38,662670,487170
2020,일반의,B66,1543,1779,1779,34636130,25398330
2020,일반의,B67,4,4,4,63960,44960
2020,일반의,B68,70,77,77,1182100,865600
2020,일반의,B69,18,48,48,769890,619590
2020,일반의,B71,23,23,23,346840,254240
2020,일반의,B73,1,1,1,12010,8410
2020,일반의,B74,1,1,1,16140,11340
2020,일반의,B76,28,32,32,493690,359990
2020,일반의,B77,29,30,30,471770,348470
2020,일반의,B79,19,20,20,2298160,1594420
2020,일반의,B80,88,91,91,1459350,1105450
2020,일반의,B81,29,29,29,3083560,2164460
2020,일반의,B82,148,172,172,6200620,4444020
2020,일반의,B83,279,351,351,6261570,4568650
2020,일반의,B85,2079,2579,2579,52521490,38061790
2020,일반의,B86,7333,12171,12172,201993700,152501080
2020,일반의,B87,14,16,16,299680,236880
2020,일반의,B88,4732,7015,7022,207471010,150398490
2020,일반의,B89,146,157,157,2877410,2114010
2020,일반의,B90,337,467,467,29316660,20798570
2020,일반의,B91,8,107,107,5095830,3574830
2020,일반의,B92,27,31,31,513630,413330
2020,일반의,B94,20,23,23,814460,580160
2020,일반의,B96,13,15,15,181810,130010
2020,일반의,B97,1100,2015,2016,152334390,107155680
2020,일반의,B98,5969,7519,7530,165569790,117182790
2020,일반의,B99,85,106,130,4497060,3528930
2020,일반의,C00,7,31,31,882100,832700
2020,일반의,C01,22,134,187,7669850,6890450
2020,일반의,C02,90,535,1015,70030950,62936600
2020,일반의,C03,22,282,378,14649480,13486500
2020,일반의,C04,12,103,278,19341210,17203740
2020,일반의,C05,21,246,526,20352910,17834410
2020,일반의,C06,55,291,399,28817360,26594820
2020,일반의,C07,50,221,367,22894880,19509390
2020,일반의,C08,50,418,600,56008190,53069970
2020,일반의,C09,77,529,876,40360500,36386290
2020,일반의,C10,35,265,674,53404440,48524240
2020,일반의,C11,91,789,1991,143709860,130607010
2020,일반의,C12,9,55,162,7162820,6303820
2020,일반의,C13,58,370,602,42436090,39082220
2020,일반의,C14,13,106,283,9098890,7681370
2020,일반의,C15,518,3032,5401,410192650,377655190
2020,일반의,C16,4854,31236,38275,2367076660,2196153420
2020,일반의,C17,116,736,1212,120499160,112778710
2020,일반의,C18,2817,18071,24125,2011713080,1868477230
2020,일반의,C19,319,2099,3191,196795140,180451010
2020,일반의,C20,1371,9098,14883,1193109380,1099792430
2020,일반의,C21,86,488,518,26397930,24016440
2020,일반의,C22,2436,14690,21322,1962413230,1812585210
